Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Hecho Simultaneos,Tipo de Arma,Tipo de Implicado (2),No Victimas Fatales,Combatientes,Poblacion Civil,Lesionado,Fuente,
29,8,2000,Valle del Cauca,Palmira,IP La Buitrera,,,Guerrilla-FARC,,,,,Noche y Niebla # 17 Agosto Pp. 165,
29,8,2000,Valle del Cauca,La Cumbre,Cabecera Municipal,,,Guerrilla-FARC,1,1,,,Noche y Niebla # 17 Agosto Pp. 165,
30,8,2000,Casanare,Hato Corozal,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,1,1, , ,Noche y Niebla # 17 Agosto Pp. 171,
30,8,2000,Cauca,Caldono,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 17 Agosto Pp. 170,
30,8,2000,Cauca,Rosas,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 17 Agosto Pp. 170,
30,8,2000,Cauca,Purace,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 17 Agosto Pp. 170,
1,9,2000,Cauca,Caloto,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC,,,,1,Noche y Niebla # 17 Septiembre Pp. 181,
1,9,2000,Cauca,Timbio,Cabecera Municipal,Bienes Civiles y Pillaje,,Guerrilla-FARC,,,,,Noche y Niebla # 17 Septiembre Pp. 181,
2,9,2000,Huila,Acevedo,Cabecera Municipal,Lesionado,Fusiles y Granadas,Guerrilla-FARC,,,,1,Noche y Niebla # 17 Septiembre Pp. 184,
2,9,2000,La Guajira,Riohacha,Cabecera Municipal,Bienes Civiles y Lesionado,"Morteros, Granadas y Cilindros Bomba",Guerrilla-FARC,4,4,,1,Noche y Niebla # 17 Septiembre Pp. 183,
13,9,2000,Cauca,Corinto,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 17 Septiembre Pp. 205,
19,9,2000,Narino,Colon (Genova),Cabecera Municipal,,,Guerrilla-FARC,2,2,,,Noche y Niebla # 17 Septiembre Pp. 217-218,
20,9,2000,Santander,Concepcion,Cabecera Municipal,Lesionado,,Guerrilla-ELN,,,,1,Noche y Niebla # 17 Septiembre Pp. 218,
18,10,2000,Antioquia,Dabeiba,Cabecera Municipal,Bienes Civiles,Fusiles y Cilindro Bomba,Guerrilla-FARC,61,61,,,Noche y Niebla # 18 Octubre Pp. 93,
22,10,2000,Arauca,Tame,Cabecera Municipal,Bienes Civiles y Lesionado,Cilindros Bomba,Guerrilla-FARC,,,,9,Noche y Niebla # 18 Octubre Pp. 100,
22,10,2000,Arauca,Arauquita,Cabecera Municipal, ,,Guerrilla-FARC,,,,,Noche y Niebla # 18 Octubre Pp. 100,
1,11,2000,Putumayo,Santiago,Cabecera Municipal,,,Guerrilla-FARC,1,1,,,Noche y Niebla # 18 Octubre Pp. 117,
3,11,2000,Huila,Acevedo,Cabecera Municipal,,Fusiles,Guerrilla-FARC,,,,,Noche y Niebla # 18 Octubre Pp. 121,
17,11,2000,Caqueta,El Paujil,Cabecera Municipal,Lesionado,,Guerrilla-FARC,4,4,,2,Noche y Niebla # 18 Octubre Pp. 148,
17,11,2000,Santander,Capitanejo,Cabecera Municipal,Lesionado,,Guerrilla-ELN,,,,1,Noche y Niebla # 18 Octubre Pp. 148,
18,11,2000,Narino,Santa Cruz (Guachaves),Cabecera Municipal,Bienes Civiles,,Guerrilla-ELN,1,1,,,Noche y Niebla # 18 Octubre Pp. 149,
18,11,2000,Narino,Ancuya,Cabecera Municipal, ,,Guerrilla-ELN,,,,,Noche y Niebla # 18 Noviembre Pp. 150,
18,11,2000,Narino,Samaniego,Cabecera Municipal, ,,Guerrilla-ELN,,,,,Noche y Niebla # 18 Noviembre Pp. 150,
18,11,2000,Narino,Linares,Cabecera Municipal, ,,Guerrilla-ELN,,,,,Noche y Niebla # 18 Noviembre Pp. 150,
19,11,2000,Arauca,Saravena,Cabecera Municipal,Lesionado,,Guerrilla-ELN,,,,2,Noche y Niebla # 18 Noviembre Pp. 152,
19,11,2000,Cundinamarca,Quipile,Cabecera Municipal,"Bienes Civiles, Pillaje y Lesionado",Fusiles y Artefactos Explosivos,Guerrilla-FARC,,,,7,Noche y Niebla # 18 Noviembre Pp. 152,
24,11,2000,Antioquia,Anza,Cabecera Municipal,Bienes Civiles y Pillaje,Fusiles y Artefactos Explosivos,Guerrilla-FARC,,,,,Noche y Niebla # 18 Noviembre Pp. 161,
6,12,2000,Valle del Cauca,Buenaventura,Cabecera Municipal,Bienes Civiles y Pillaje,,Guerrilla-FARC,3,3,,,Noche y Niebla # 18 Pp. 182,
19,12,2000,Antioquia,Yolombo,Cabecera Municipal,"Bienes Civiles, Pillaje y Lesionado","Fusiles, Rockets y Cilindros de Gas",Guerrilla-ELN,2,2,,4,Noche y Niebla # 18 Pp. 202,
26,12,2000,Cundinamarca,Guayabal de Siquima,Cabecera Municipal,"Bienes Civiles, Pillaje y Lesionado",Fusiles y Artefactos Explosivos,Guerrilla-FARC,2,2,,3,Noche y Niebla # 18 Pp. 210,
31,1,2000,Cauca,Suarez,Cabecera Municipal,"Bienes Civiles, Pillaje y Lesionado",Cilindro Bomba,Guerrilla-FARC,1,,1,1, Noche y Niebla # 15. Enero.  Pp. 38,
5,2,2000,Cauca,Argelia,Cabecera Municipal,Lesionado,,Guerrilla-FARC,3,,3,,Noche y Niebla # 15 Pp. 6,
12,2,2000,Bolivar,San Jacinto,Cabecera Municipal,Bienes Civiles y Pillaje,,Guerrilla-FARC,2,,2,, Noche y Niebla # 15. Febrero.  Pp. 19,
1,3,2000,Antioquia ,Carolina,Cabecera Municipal,Bienes Civiles y Pillaje,Rockets y Cilindros Bomba,Guerrilla-FARC,2,,2,,Noche y Niebla # 15 Pp. 140,
17,3,2000,Risaralda,Pueblo Rico,Corregimiento Santa Cecilia,Bienes Civiles,,Guerrilla-FARC,3,2,1,,Noche y Niebla # 15 Pp. 165,
25,3,2000,Antioquia,Vigia del Fuerte,Cabecera Municipal,Bienes Civiles,Cilindro Bomba,Guerrilla-FARC,27,24,3,, Noche y Niebla # 15 Pp. 178,
1,4,2000,Tolima,Rioblanco,Cabecera Municipal,Bienes Civiles y Lesionado,Cilindro Bomba,Guerrilla-FARC,7,4,3,, Noche y Niebla # 16 Pp. 49,
