Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Tipo de Implicado (1),Tipo de Implicado (2),Nº Victimas,Fuente,
3,7,1998,Cesar,Bosconia,Cabecera Municipal-Barrios Miramar y 18 de Febrero,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 27,
4,7,1998, Antioquia,Dabeiba,Sitio La Recta de Papayara,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 28,
5,7,1998,Valle del Cauca,Cali,Cabecera Municipal-Barrio Siloe,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Noche y Niebla # 9 Pp. 29,
5,7,1998, Antioquia,Toledo,Jurisdiccion del Corregimiento Buenavista-Sitio El Granero,Grupos Paramilitares,Grupos Paramilitares,2,Noche y Niebla # 9 Pp. 28,
5,7,1998,Bolivar,El Carmen de Bolivar,,Grupos Paramilitares,Grupos Paramilitares,3,En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 243,
6,7,1998, Antioquia,Antioquia,Vereda El Plan,Guerrilla  ,Guerrilla-FARC,1,Noche y Niebla # 9 Pp. 30,
9,7,1998,Caqueta,Florencia,,Grupo Armado No Identificado,Grupo Armado No Identificado,2,Noche y Niebla # 9 Pp. 31,
9,7,1998,La Guajira,Barrancas,,Grupos Paramilitares,Grupos Paramilitares,3,Noche y Niebla # 9 Pp. 31,
10,7,1998,Cauca ,Popayan,Vereda Samanga,Grupo Armado No Identificado,Grupo Armado No Identificado,2,Noche y Niebla # 9 Pp. 33,
12,7,1998,Santander,Barrancabermeja,Cabecera Municipal-Barrio Primero de Mayo,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 33-34,
17,7,1998,Choco,El Carmen,Vereda La Arboleda,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 35,
17,7,1998,Cesar,Pailitas,Caserio El Burro-Sitio Los Laureles,Guerrilla  ,Guerrilla-ELN,1,Noche y Niebla # 9 Pp. 37,
18,7,1998,Cesar,Valledupar,Corregimiento Aguas Blancas- Finca El Arca,Grupo Armado No Identificado,Grupo Armado No Identificado,2,Noche y Niebla # 9 Pp. 38,
18,7,1998,Choco,El Carmen de Atrato,Vereda Guaduas,Grupos Paramilitares,Grupos Paramilitares,3,En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 244,
18,7,1998,Magdalena ,Fundacion,Caserio Estacion Lleras,Grupos Paramilitares,Grupos Paramilitares,3,Noche y Niebla # 6 y 7 Pp. 38 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,
20,7,1998,Caldas,Anserma,Sitio El Basurero,Desconocidos,Desconocidos,2,Noche y Niebla # 9 Pp. 39,
20,7,1998,Bolivar,Maria La Baja,Corregimiento Retiro Nuevo- Vereda Nuevo Porvenir,Grupo Armado No Identificado,Grupo Armado No Identificado,3,Noche y Niebla # 9 Pp. 39,
23,7,1998,Santander,Simacota,IP Puerto Nuevo,Desconocidos,Desconocidos,1,Noche y Niebla # 9 Pp. 41,
25,7,1998, Antioquia,Carmen de Viboral,Cabecera Municipal,Grupo Armado No Identificado,Grupo Armado No Identificado,2,Noche y Niebla # 9 Pp. 42,
25,7,1998,Arauca,Arauca,Cabecera Municipal ,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Noche y Niebla # 9 Pp. 42,
25,7,1998,Cesar,El Copey,Via a Palmeras de la Costa ,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 42-43,
25,7,1998,Magdalena ,Aracataca,Vereda Las Mercedes- Sitio Vuelta del Torito,Grupos Paramilitares,Grupos Paramilitares,2,Noche y Niebla # 9 Pp. 43,
26,7,1998,Meta,Villavicencio,Cabecera Municipal,Desconocidos,Desconocidos,1,Noche y Niebla # 9 Pp. 43,
26,7,1998,Santander,Barrancabermeja,Cabecera Municipal-Barrio Cincuentenario,Desconocidos,Desconocidos,1,Noche y Niebla # 9 Pp. 43,
26,7,1998,Cesar,Astrea,Caserio El Yucal,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Noche y Niebla # 9 Pp. 43,
26,7,1998, Antioquia,Taraza,Vereda Borro Blanco,Guerrilla  ,Guerrilla-ELN,1,Noche y Niebla # 9 Pp. 44,
27,7,1998,Tolima,Cajamarca,Corregimiento de Anaime-Finca Las Pizarras,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Noche y Niebla # 9 Pp. 44,
27,7,1998,Tolima,Rioblanco,IP Puerto Saldana,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Noche y Niebla # 9 Pp. 44,
28,7,1998,Cesar,Valledupar,Corregimiento de Mariangola-Finca Acapulco,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 44,
28,7,1998,Magdalena ,Fundacion,Zona Rural,Grupos Paramilitares,Grupos Paramilitares,2,Noche y Niebla # 9 Pp. 45,
30,7,1998,Santander,Barrancabermeja,Finca La Herradura,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Noche y Niebla # 9 Pp. 45,
2,8,1998, Antioquia,San Francisco,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 51,
2,8,1998,Magdalena ,Cienaga,Zona de Las Margaritas,Grupos Paramilitares,Grupos Paramilitares,2,Noche y Niebla # 9 Pag. 50,
8,8,1998,Magdalena ,Cienaga,Caserio Santa Rosalia,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pag. 58,
8,8,1998,Magdalena ,Fundacion,Sitio Loma del Balsamo,Grupos Paramilitares,Grupos Paramilitares,2,Noche y Niebla # 9 Pag. 59,
9,8,1998, Antioquia,Medellin,Cabecera Municipal-Barrio El Pesebre,Grupo Armado No Identificado,Grupo Armado No Identificado,2,Noche y Niebla # 9 Pag. 59,
11,8,1998,Cesar,Valledupar,Cabecera Municipal-Urbanizacion El Cerrito,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Noche y Niebla # 9 Pag. 60,
11,8,1998,Valle del Cauca,Cali,Corregimiento de Melendez-Finca La Esperanza,Guerrilla  ,Guerrilla-ELN,1,Noche y Niebla # 9 Pag. 60,
12,8,1998, Antioquia,San Vicente,Veredas El Porvenir y El Calvario,Grupo Armado No Identificado,Grupo Armado No Identificado,3,Noche y Niebla # 9 Pp. 60,
12,8,1998, Antioquia,Pueblorrico,Sitio La Gallera,Grupos Paramilitares,Grupos Paramilitares,3,Noche y Niebla # 9 Pp. 61 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,
13,8,1998,Bolivar,Tiquisio,Vereda Cocotiquisio,Grupos Paramilitares,Grupos Paramilitares,2,Noche y Niebla # 9 Pp. 62,
14,8,1998,Santander,Barrancabermeja,,Fuerza Publica,Ejercito Nacional,1,Noche y Niebla # 9 Pp. 62,
14,8,1998,Cesar,El Paso,Sitio La Sorpresa,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 62,
14,8,1998, Antioquia,Taraza,Corregimiento Barro Blanco-Finca La Cruz,Guerrilla  ,Guerrilla-ELN,1,Noche y Niebla # 9 Pp. 62,
14,8,1998,Bolivar,El Carmen de Bolivar,Corregimiento El Salado,Guerrilla  ,Guerrilla-FARC,1,Noche y Niebla # 9 Pp. 62,
16,8,1998, Antioquia,Yolombo,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 63,
16,8,1998,Bolivar,Simiti,Finca Destino,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 64,
16,8,1998,Valle del Cauca,Cali,Cabecera Municipal-Barrio La Cruz,Grupos Paramilitares,Grupos Paramilitares,3,Noche y Niebla # 9 Pp. 63 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,
16,8,1998,Cauca,Cajibio,IP El Carmelo ,Guerrilla  ,Guerrilla-FARC,1,Noche y Niebla # 9 Pp. 64,
17,8,1998,Tolima,Planadas,Cabecera Municipal,Guerrilla  ,Guerrilla-FARC,1,Noche y Niebla # 9 Pp. 64,
18,8,1998,Cesar,San Alberto,Vereda La Cumbre,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 64,
